"TEAM_ABBREVIATION","avg_pred_prob","actual_win_rate"
"ATL",0.588947481070578,0.48780487804878
"BKN",0.316338492753796,0.317073170731707
"BOS",0.742909797769636,0.74390243902439
"CHA",0.230321486129231,0.231707317073171
"CHI",0.470579997131193,0.475609756097561
"CLE",0.779358363298703,0.780487804878049
"DAL",0.469906775500737,0.475609756097561
"DEN",0.606396459856895,0.609756097560976
"DET",0.532562040463877,0.536585365853659
"GSW",0.58232545571251,0.585365853658537
"HOU",0.630955712195324,0.634146341463415
"IND",0.607148052411085,0.609756097560976
"LAC",0.607294659257616,0.609756097560976
"LAL",0.607409040701844,0.609756097560976
"MEM",0.583880182401344,0.585365853658537
"MIA",0.447392909502678,0.451219512195122
"MIL",0.582013413022687,0.585365853658537
"MIN",0.595894781406989,0.597560975609756
"NOP",0.254331371055483,0.25609756097561
"NYK",0.618091391817,0.621951219512195
"OKC",0.821536260986693,0.829268292682927
"ORL",0.493669636363197,0.5
"PHI",0.291228825314335,0.292682926829268
"PHX",0.475264026079197,0.439024390243902
"POR",0.435794285580768,0.439024390243902
"SAC",0.479126429287748,0.48780487804878
"SAS",0.403927933047455,0.414634146341463
"TOR",0.363820361766282,0.365853658536585
"UTA",0.206854404813446,0.207317073170732
"WAS",0.218579449822087,0.219512195121951
