"accuracy","log_loss","brier","model"
0.729400131839156,0.549909702172788,0.18552644204809,"logit"
0.992089650626236,0.0191122263388627,0.00495660807257905,"svm"
1,0.00680914814091444,0.000133732366512854,"rf"
1,0,0,"cart"
