"TEAM_ABBREVIATION","avg_pred_prob","actual_win_rate"
"ATL",0.488414634146341,0.48780487804878
"BKN",0.313121951219512,0.317073170731707
"BOS",0.749268292682927,0.74390243902439
"CHA",0.230073170731707,0.231707317073171
"CHI",0.472560975609756,0.475609756097561
"CLE",0.785439024390244,0.780487804878049
"DAL",0.477585365853659,0.475609756097561
"DEN",0.61190243902439,0.609756097560976
"DET",0.542439024390244,0.536585365853659
"GSW",0.586609756097561,0.585365853658537
"HOU",0.635756097560976,0.634146341463415
"IND",0.610256097560976,0.609756097560976
"LAC",0.610512195121951,0.609756097560976
"LAL",0.60980487804878,0.609756097560976
"MEM",0.587121951219512,0.585365853658537
"MIA",0.448756097560976,0.451219512195122
"MIL",0.59009756097561,0.585365853658537
"MIN",0.598914634146341,0.597560975609756
"NOP",0.253512195121951,0.25609756097561
"NYK",0.623756097560976,0.621951219512195
"OKC",0.835073170731707,0.829268292682927
"ORL",0.501439024390244,0.5
"PHI",0.288829268292683,0.292682926829268
"PHX",0.44230487804878,0.439024390243902
"POR",0.445853658536585,0.439024390243902
"SAC",0.492048780487805,0.48780487804878
"SAS",0.41290243902439,0.414634146341463
"TOR",0.362414634146341,0.365853658536585
"UTA",0.20480487804878,0.207317073170732
"WAS",0.218024390243902,0.219512195121951
