"TEAM_ABBREVIATION","avg_pred_prob","actual_win_rate"
"ATL",0.48780487804878,0.48780487804878
"BKN",0.317073170731707,0.317073170731707
"BOS",0.74390243902439,0.74390243902439
"CHA",0.231707317073171,0.231707317073171
"CHI",0.475609756097561,0.475609756097561
"CLE",0.780487804878049,0.780487804878049
"DAL",0.475609756097561,0.475609756097561
"DEN",0.609756097560976,0.609756097560976
"DET",0.536585365853659,0.536585365853659
"GSW",0.585365853658537,0.585365853658537
"HOU",0.634146341463415,0.634146341463415
"IND",0.609756097560976,0.609756097560976
"LAC",0.609756097560976,0.609756097560976
"LAL",0.609756097560976,0.609756097560976
"MEM",0.585365853658537,0.585365853658537
"MIA",0.451219512195122,0.451219512195122
"MIL",0.585365853658537,0.585365853658537
"MIN",0.597560975609756,0.597560975609756
"NOP",0.25609756097561,0.25609756097561
"NYK",0.621951219512195,0.621951219512195
"OKC",0.829268292682927,0.829268292682927
"ORL",0.5,0.5
"PHI",0.292682926829268,0.292682926829268
"PHX",0.439024390243902,0.439024390243902
"POR",0.439024390243902,0.439024390243902
"SAC",0.48780487804878,0.48780487804878
"SAS",0.414634146341463,0.414634146341463
"TOR",0.365853658536585,0.365853658536585
"UTA",0.207317073170732,0.207317073170732
"WAS",0.219512195121951,0.219512195121951
